frame_number,timestamp,src_mac,dst_mac,appid,gocb_ref,time_allowed,st_num,sq_num,test,conf_rev,nds_com,packet_size,time_diff
1,2025-08-16 16:09:09.780297,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224190,0,N/A,1,False,315,
2,2025-08-16 16:09:09.782370,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224190,1,N/A,1,False,315,0.002073
3,2025-08-16 16:09:09.784822,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224190,2,N/A,1,False,315,0.002452
4,2025-08-16 16:09:09.788178,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224190,3,N/A,1,False,315,0.003356
5,2025-08-16 16:09:09.796432,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224190,4,N/A,1,False,315,0.008254
6,2025-08-16 16:09:10.187017,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155741,0,N/A,1,False,343,0.390585
7,2025-08-16 16:09:10.188984,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155741,1,N/A,1,False,343,0.001967
8,2025-08-16 16:09:10.190997,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155741,2,N/A,1,False,343,0.002013
9,2025-08-16 16:09:10.195031,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155741,3,N/A,1,False,343,0.004034
10,2025-08-16 16:09:10.202994,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155741,4,N/A,1,False,343,0.007963
11,2025-08-16 16:09:10.387994,00:60:36:76:21:88,01:0c:cd:01:05:37,0x0537,I_T1002ARPIT/LLN0$GO$gocb0,10000,2,52992,N/A,1,False,320,0.185
12,2025-08-16 16:09:10.414954,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224191,0,N/A,1,False,315,0.02696
13,2025-08-16 16:09:10.416977,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224191,1,N/A,1,False,315,0.002023
14,2025-08-16 16:09:10.418962,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224191,2,N/A,1,False,315,0.001985
15,2025-08-16 16:09:10.422963,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224191,3,N/A,1,False,315,0.004001
16,2025-08-16 16:09:10.431028,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224191,4,N/A,1,False,315,0.008065
17,2025-08-16 16:09:10.832521,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155742,0,N/A,1,False,343,0.401493
18,2025-08-16 16:09:10.834551,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155742,1,N/A,1,False,343,0.00203
19,2025-08-16 16:09:10.836494,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155742,2,N/A,1,False,343,0.001943
20,2025-08-16 16:09:10.840475,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155742,3,N/A,1,False,343,0.003981
21,2025-08-16 16:09:10.848483,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155742,4,N/A,1,False,343,0.008008
22,2025-08-16 16:09:11.105220,00:10:00:00:05:2c,01:0c:cd:01:05:2d,0x052d,C_T1003XPIGO/LLN0$GO$gocb2,10000,15,138175,N/A,1,False,288,0.256737
23,2025-08-16 16:09:11.171883,00:60:36:50:a3:26,01:0c:cd:01:05:33,0x0533,I_T1102ARPIT/LLN0$GO$gocb0,10000,34,55765,N/A,1,False,320,0.066663
24,2025-08-16 16:09:11.349936,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155743,0,N/A,1,False,343,0.178053
25,2025-08-16 16:09:11.351912,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155743,1,N/A,1,False,343,0.001976
26,2025-08-16 16:09:11.353909,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155743,2,N/A,1,False,343,0.001997
27,2025-08-16 16:09:11.357856,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155743,3,N/A,1,False,343,0.003947
28,2025-08-16 16:09:11.366881,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155743,4,N/A,1,False,343,0.009025
29,2025-08-16 16:09:11.382714,00:a0:03:6a:70:60,01:0c:cd:01:05:32,0x0532,P_T1102APIGO/LLN0$GO$gocb0,10000,1,3078,N/A,1,False,233,0.015833
30,2025-08-16 16:09:11.524686,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224192,0,N/A,1,False,315,0.141972
31,2025-08-16 16:09:11.526604,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224192,1,N/A,1,False,315,0.001918
32,2025-08-16 16:09:11.528626,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224192,2,N/A,1,False,315,0.002022
33,2025-08-16 16:09:11.532618,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224192,3,N/A,1,False,315,0.003992
34,2025-08-16 16:09:11.540627,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224192,4,N/A,1,False,315,0.008009
35,2025-08-16 16:09:11.868411,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155744,0,N/A,1,False,343,0.327784
36,2025-08-16 16:09:11.873098,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155744,1,N/A,1,False,343,0.004687
37,2025-08-16 16:09:11.873098,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155744,2,N/A,1,False,343,0.0
38,2025-08-16 16:09:11.873618,00:60:36:50:a3:26,01:0c:cd:01:05:34,0x0534,I_T1102ARPIT/LLN0$GO$gocb1,10000,47,2905,N/A,1,False,356,0.00052
39,2025-08-16 16:09:11.881075,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155744,3,N/A,1,False,343,0.007457
40,2025-08-16 16:09:11.884675,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155744,4,N/A,1,False,343,0.0036
41,2025-08-16 16:09:12.079739,00:10:00:00:05:26,01:0c:cd:01:05:27,0x0527,C_T1102XPIGO/LLN0$GO$gocb2,10000,1,2907,N/A,1,False,287,0.195064
42,2025-08-16 16:09:12.080696,00:10:00:00:05:26,01:0c:cd:01:05:28,0x0528,C_T1102XPIGO/LLN0$GO$gocb3,10000,1,2907,N/A,1,False,165,0.000957
43,2025-08-16 16:09:12.154037,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224193,0,N/A,1,False,315,0.073341
44,2025-08-16 16:09:12.156006,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224193,1,N/A,1,False,315,0.001969
45,2025-08-16 16:09:12.158061,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224193,2,N/A,1,False,315,0.002055
46,2025-08-16 16:09:12.161955,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224193,3,N/A,1,False,315,0.003894
47,2025-08-16 16:09:12.170016,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224193,4,N/A,1,False,315,0.008061
48,2025-08-16 16:09:12.518763,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155745,0,N/A,1,False,343,0.348747
49,2025-08-16 16:09:12.518763,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155745,1,N/A,1,False,343,0.0
50,2025-08-16 16:09:12.523306,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155745,2,N/A,1,False,343,0.004543
51,2025-08-16 16:09:12.527073,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155745,3,N/A,1,False,343,0.003767
